"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"79","446.27744708545146","244.94087117951054","4.786357863554676","-0.3096601397456687","0.019500000000000073","0.016000000000000014","0.023","1400","0.00011797015639754206","0.00011797015639754206","0.00011797015639754206","79_80:0.0038467737156184234","79_80:660","true"
"80","224.68088769918134","72.83218833669466","4.850840521612151","-0.3079830471645371","0.09050000000000002","0.10519999999999996","0.0758","1400","0.0003012977846886063","0.0003012977846886063","0.0003012977846886063","","","true"
"81","189.48029043869323","16.820794576077372","5.002015911251177","-0.28152033709593866","0.13459999999999994","0.11539999999999995","0.1538","1400","0.011599718672324845","0.011599718672324845","0.011599718672324845","81_82:0.08394874355657404;81_72:0.039053526409286554;81_80:0.026818453529852376","81_82:660;81_72:660;81_80:660","true"
"82","316.10983512217217","18.343877921251256","4.902338409050577","-0.3073208151268094","0.006899999999999906","0.008399999999999963","0.0054","1400","0.00045474567463355057","0.00045474567463355057","0.00045474567463355057","","","true"
"83","308.2842660490574","77.9188143477188","5.031210307027904","-0.3063243777084493","0.005900000000000016","0.006800000000000028","0.005","1400","0.0003996377247437028","0.0003996377247437028","0.0003996377247437028","83_82:0.012351324663986113","83_82:660","true"
"84","183.64565384602471","69.8377211438904","4.894127170171334","-0.3065902831656614","0.01429999999999998","0.015199999999999991","0.0134","1400","0.0003356756461896283","0.0003356756461896283","0.0003356756461896283","84_83:0.013718887816378034","84_83:660","true"
"85","301.4783375879981","254.84100995652398","5.025031516980649","-0.3065800859785169","0.48350000000000004","0.3974","0.5696","1400","0.0015389695079069308","0.0015389695079069308","0.0015389695079069308","85_84:0.09779337952019995;85_73:1","85_84:660;85_73:660","true"
"86","285.2085282644803","67.20786348145268","4.943741010696247","-0.3060679779681569","0.037699999999999956","0.04379999999999995","0.0316","1400","0.0002819583216551334","0.0002819583216551334","0.0002819583216551334","86_85:1","86_85:660","true"
"87","403.9606983185128","169.47712880181857","4.892892382829424","-0.3071491684732496","0.04679999999999995","0.04520000000000002","0.0484","1400","0.00016032996715924984","0.00016032996715924984","0.00016032996715924984","87_93:0.06455225045780813;87_88:0.011155011554340871;87_86:0.00932335127505221","87_93:660;87_88:660;87_86:660","true"
"88","89.52219318403606","96.53640865595445","5.052581943684495","-0.304960394436529","0.015000000000000013","0.01666666666666672","0.013333333333333334","1400","0.0006810351695960657","0.0006810351695960657","0.0006810351695960657","88_89:0.010507694603567375","88_89:660","true"
"89","221.59479467890634","136.97103735554631","4.922658349445096","-0.3066542797849576","0.2783333333333333","0.4666666666666667","0.09","1400","0.00016308554211678025","0.00016308554211678025","0.00016308554211678025","89_74:0.01725089838392721","89_74:660","true"
"90","302.0426561692921","271.22954904604165","4.9834890650803185","-0.30538470198551193","0.01760000000000006","0.0192","0.016000000000000014","1400","0.0001745387660241985","0.0001745387660241985","0.0001745387660241985","90_75:0.004893873651197506;90_94:0.008066168854679562","90_75:660;90_94:660","true"
"91","408.6033791872383","249.02761381776693","4.8699033164306185","-0.3074936357613819","0.0695","0.07620000000000005","0.0628","1400","0.00032172219581850673","0.00032172219581850673","0.00032172219581850673","91_79:0.009702199838826614","91_79:660","true"
"92","339.1641669427454","59.50205750549282","4.943507094411232","-0.30629552269162297","0.018399999999999972","0.0208","0.016000000000000014","1400","0.0006373426971264602","0.0006373426971264602","0.0006373426971264602","92_83:0.012884218318274215;92_102:0.015313152795369905","92_83:660;92_102:660","true"
"93","15.16641647257547","5.2659850714776555","4.655533815034642","0","0.0534","0.04159999999999997","0.0652","1400","0.015262614776763314","0.015262614776763314","0.015262614776763314","93_106:1","93_106:660","true"
"94","357.30342039861625","334.20391220763713","4.892454208681467","-0.3071648351996062","0.009000000000000008","0.008600000000000052","0.0094","1400","0.00031521013344041514","0.00031521013344041514","0.00031521013344041514","94_95:0.010352282231774507","94_95:660","true"
"95","384.91901793721513","144.89249249790052","4.805790647063666","-0.30918254236870346","0.007299999999999973","0.007199999999999984","0.0074","1400","0.0001224497046419419","0.0001224497046419419","0.0001224497046419419","","","true"
"96","281.5516408657135","38.49115492489288","4.904976386920808","-0.3075517924661106","0.06400000000000006","0.0716","0.0564","1400","0.0028575301088184252","0.0028575301088184252","0.0028575301088184252","96_109:0.020429737968064604;96_97:0.020465966584624934;96_95:0.01779390800950459","96_109:660;96_97:660;96_95:660","true"
"97","378.7719212634493","263.5497886650555","4.827924906192283","-0.3077086218539215","0.008399999999999963","0.007199999999999984","0.0096","1400","0.0001356879518689875","0.0001356879518689875","0.0001356879518689875","97_98:0.017717244821790323","97_98:660","true"
"98","253.37297743803566","35.22855337262744","4.931860064117282","-0.3071662914424166","0.008899999999999908","0.0064","0.011399999999999966","1400","0.00019342567388273474","0.00019342567388273474","0.00019342567388273474","98_91:0.008055495783689803","98_91:660","true"
"99","282.9612609221625","201.28415083522125","4.847706377036187","-0.3073928429952756","0.009600000000000053","0.0076","0.011600000000000055","1400","0.00016397016043321637","0.00016397016043321637","0.00016397016043321637","99_98:0.00522194620046143","99_98:660","true"
"100","227.14102259748773","216.10833643944179","5.038239473479456","-0.305216444060978","0.0776","0.0196","0.13560000000000005","1400","0.00014930562155239055","0.00014930562155239055","0.00014930562155239055","100_99:0.004653345199716774;100_110:0.005598173787474958","100_99:660;100_110:660","true"
"101","357.21505375653226","208.98523812936162","4.786654947420867","-0.30859022081829135","0.015499999999999958","0.0184","0.012599999999999945","1400","0.00020226536834181406","0.00020226536834181406","0.00020226536834181406","101_102:0.0047506958727080995;101_100:0.01218957547705779","101_102:660;101_100:660","true"
"102","394.3352275199047","247.47455885191513","4.864150279523489","-0.3079078250736739","0.014000000000000012","0.01419999999999999","0.0138","1400","0.0001533915519480777","0.0001533915519480777","0.0001533915519480777","","","true"
"103","356.39094401894977","65.49174307064543","4.947652595954461","-0.3061106856768402","0.01100000000000001","0.0108","0.011199999999999988","1400","0.0005514467045629507","0.0005514467045629507","0.0005514467045629507","103_102:0.005873324339461888;103_104:0.0076489723705265855","103_102:660;103_104:660","true"
"104","362.14356029438386","145.32151510791334","4.823258555422401","-0.30887389224640077","0.07166666666666677","0.04","0.10333333333333339","1400","0.00014704986607460852","0.00014704986607460852","0.00014704986607460852","104_111:0.08622735565512459;104_105:0.003549308427690856","104_111:660;104_105:660","true"
"105","293.6944339514998","250.48582623039937","4.923659327126808","-0.30744604347870486","0.052000000000000046","0.05159999999999998","0.0524","1400","0.00011021422830124862","0.00011021422830124862","0.00011021422830124862","105_106:1","105_106:660","true"
"106","33.118004991713164","127.2276491792076","4.833835391366063","0","0.20189999999999997","0.39039999999999997","0.0134","1400","0.06257514738159053","0.06257514738159053","0.06257514738159053","106_107:1","106_107:660","true"
"107","348.7995896478212","400.4565961773445","4.73713268397061","-0.3092323185160615","0.024499999999999966","0.0248","0.0242","1400","0.00021035871314449583","0.00021035871314449583","0.00021035871314449583","","","true"
"108","347.72566728645216","364.58424139665215","4.848574730424507","-0.30758756009823","0.014599999999999946","0.0146","0.014599999999999946","1400","0.0003462189661685828","0.0003462189661685828","0.0003462189661685828","108_107:0.005317464989429921;108_112:0.01056342215868325","108_107:660;108_112:660","true"
"109","217.39857767565144","68.81319763686827","4.816281028481473","-0.3076224851395677","0.0605","0.0572","0.06379999999999997","1400","0.00019146020913363282","0.00019146020913363282","0.00019146020913363282","109_114:0.004917335608214196","109_114:660","true"
"110","213.13036129414115","69.00551243029","4.93247850015943","-0.30654326919776725","0.06166666666666676","0.030000000000000027","0.09333333333333334","1400","0.0002019913607509567","0.0002019913607509567","0.0002019913607509567","110_118:1","110_118:660","true"
"111","147.73682564168038","8.117277276738696","4.77189368014369","-0.27459033814679856","0.12","0.1233333333333333","0.11666666666666667","1400","0.08397761525641265","0.08397761525641265","0.08397761525641265","","","true"
"112","163.55102474659756","56.96527204410726","4.758024847537368","-0.30947821505202616","0.012199999999999989","0.014800000000000035","0.0096","1400","0.0002591230974880656","0.0002591230974880656","0.0002591230974880656","","","true"
"113","313.7549544118352","181.8547685862282","4.878155912798816","-0.3074886323823703","0.020100000000000007","0.0152","0.025000000000000022","1400","0.00011497397369368396","0.00011497397369368396","0.00011497397369368396","","","true"
